total_focos,ano,mes,estado
4183,2002,8,MS
16911,2002,8,MT
21554,2002,8,PA
139,2002,8,PB
295,2002,8,PE
6577,2002,8,PI
2216,2002,8,PR
251,2002,8,RJ
493,2002,8,RN
6967,2002,8,RO
779,2002,8,RR
1482,2002,8,RS
1263,2002,8,SC
27,2002,8,SE
909,2002,8,SP
5687,2002,8,TO
4630,2002,9,AC
51,2002,9,AL
3330,2002,9,AM
334,2002,9,AP
7248,2002,9,BA
970,2002,9,CE
41,2002,9,DF
181,2002,9,ES
4412,2002,9,GO
6406,2002,9,MA
3824,2002,9,MG
2930,2002,9,MS
18707,2002,9,MT
11519,2002,9,PA
139,2002,9,PB
964,2002,9,PE
6121,2002,9,PI
2451,2002,9,PR
81,2002,9,RJ
457,2002,9,RN
17281,2002,9,RO
1004,2002,9,RR
853,2002,9,RS
1189,2002,9,SC
4,2002,9,SE
483,2002,9,SP
10034,2002,9,TO
1209,2002,10,AC
46,2002,10,AL
2216,2002,10,AM
792,2002,10,AP
5441,2002,10,BA
2073,2002,10,CE
22,2002,10,DF
307,2002,10,ES
1665,2002,10,GO
7278,2002,10,MA
4662,2002,10,MG
2586,2002,10,MS
10863,2002,10,MT
7884,2002,10,PA
238,2002,10,PB
904,2002,10,PE
3347,2002,10,PI
675,2002,10,PR
332,2002,10,RJ
237,2002,10,RN
5882,2002,10,RO
336,2002,10,RR
31,2002,10,RS
74,2002,10,SC
20,2002,10,SE
699,2002,10,SP
3730,2002,10,TO
252,2002,11,AC
67,2002,11,AL
2119,2002,11,AM
1527,2002,11,AP
1169,2002,11,BA
3271,2002,11,CE
1,2002,11,DF
387,2002,11,ES
273,2002,11,GO
8536,2002,11,MA
488,2002,11,MG
1938,2002,11,MS
3247,2002,11,MT
12843,2002,11,PA
264,2002,11,PB
547,2002,11,PE
1610,2002,11,PI
